,Headlines,Summary,Time,ner_text,GPE,LOC,PERSON,ORG,DATE,Type of Crime
139,10 militants killed in Tirah aerial strikes,"LANDI KOTAL/LADDHA, May 9: At least 10 militants were killed and eight other injured when jet planes targeted their hideouts in Tirah valley of Khyber Agency on Wednesday. 
    ",2012-05-09,"[LANDI KOTAL/LADDHA, May 9, At least 10, eight, Tirah, Khyber Agency, Wednesday]",['Tirah'],[],['LANDI KOTAL/LADDHA'],['Khyber Agency'],"['May 9', 'Wednesday']","['Murder', 'Assault']"
140,"20 militants, peace volunteer killed in Fata clashes","LANDI KOTAL, May 14: Twenty militants and a peace volunteer were killed and several other persons including two security men received injuries during clashes in different parts of Federally Administered Tribal Areas on Monday 
    ",2012-05-14,"[LANDI KOTAL, May 14, Twenty, two, Monday]",[],[],['LANDI KOTAL'],[],"['May 14', 'Monday']","['Murder', 'Assault']"
141,Two women killed,"QUETTA, May 19: Two women were killed in Jaffarabad district on Saturday in the name of karo-kari, reports said. 
    ",2012-05-19,"[QUETTA, May 19, Two, Jaffarabad, Saturday, karo-kari]","['QUETTA', 'Jaffarabad']",[],[],['karo-kari'],"['May 19', 'Saturday']",[]
142,Militant killed in Khyber,"LANDI KOTAL, May 19: Security forces killed a suspected militant and apprehended another during a search operation in Jamrud area of Khyber Agency on Saturday. 
    ",2012-05-19,"[LANDI KOTAL, May 19, Jamrud, Khyber Agency, Saturday]",['Jamrud'],[],['LANDI KOTAL'],['Khyber Agency'],"['May 19', 'Saturday']",['Murder']
143,10 farmers injured in clash over gunny bags,"GUJRANWALA, May 19: At least 10 farmers of two rival groups were injured in an armed clash over gunny bags issue in Kamoki on Saturday. 
    ",2012-05-19,"[GUJRANWALA, May 19, At least 10, two, Kamoki, Saturday]",['Kamoki'],[],[],['GUJRANWALA'],"['May 19', 'Saturday']",['Assault']
144,Protesters say it was staged: Two killed in encounter with CIA police,"FAISALABAD, May 19: Police claimed to have gunned down two alleged criminals near Sidhar Bypass Chowk on Friday night in a crossfire, while the family members and relatives of those killed alleged in a protest demo that the encounter was staged. 
    ",2012-05-19,"[FAISALABAD, May 19, two, Sidhar Bypass Chowk, Friday, night, crossfire, encounter]",['FAISALABAD'],[],['Sidhar Bypass Chowk'],[],"['May 19', 'Friday']",['Fraud']
145,Little girl dies in roof collapse,"SIALKOT, May 19: A minor girl was killed while her father was injured seriously when the roof of a room in their house collapsed at Glotiyaan village, Daska, here on Saturday. 
    ",2012-05-19,"[SIALKOT, May 19, Glotiyaan village, Daska, Saturday]",['Glotiyaan village'],[],[],"['SIALKOT', 'Daska']","['May 19', 'Saturday']","['Murder', 'Fraud']"
146,Drone kills five in N. Waziristan,"MIRAMSHAH, May 27: A US drone attack late on Sunday night killed at least five militants in Hassokhel town, 25km east of Miramshah. 
    ",2012-05-27,"[MIRAMSHAH, May 27, US, Sunday, night, at least five, Hassokhel, 25km, Miramshah]","['US', 'Hassokhel']",[],[],"['MIRAMSHAH', 'Miramshah']","['May 27', 'Sunday']","['Murder', 'Terrorism']"
147,Stray bullet kills passer-by,"RAWALPINDI, May 27: A passer-by who was critically injured by a stray bullet fired by one of the quarrelling men in Sadiqabad area on Saturday, died in the hospital on Sunday, police said. 
    ",2012-05-27,"[RAWALPINDI, May 27, one, Sadiqabad, Saturday, Sunday]",['Sadiqabad'],[],[],['RAWALPINDI'],"['May 27', 'Saturday', 'Sunday']","['Murder', 'Drug']"
148,Police seen as selective in their successes,"ISLAMABAD Police are enjoying high praise for recovering the city's famous bookseller Mohammad Yousuf and arresting his kidnappers. But the more lasting impression the success left on the minds of the grateful 
    ",2012-05-27,"[ISLAMABAD, Mohammad Yousuf]",['ISLAMABAD'],[],['Mohammad Yousuf'],[],[],['Kidnapping']
149,Power supply to Bajaur disrupted: Children among 10 injured by stray shells in Bara,"LANDI KOTAL/KHAR, May 27: At least 10 people, including five children and a woman, were wounded when stray artillery shells fell in three different localities of Bara tehsil of Khyber Agency on Sunday, while 
    ",2012-05-27,"[LANDI KOTAL/KHAR, May 27, At least 10, five, three, Bara, Khyber Agency, Sunday]",['Bara'],[],['LANDI KOTAL/KHAR'],['Khyber Agency'],"['May 27', 'Sunday']",['Assault']
150,Rockets hit Hayatabad,"PESHAWAR, May 27: Two rockets were fired at the posh Hayatabad town in the wee hours of Sunday slightly damaging a house. 
    ",2012-05-27,"[PESHAWAR, May 27, Two, Hayatabad, the wee hours of, Sunday]","['PESHAWAR', 'Hayatabad']",[],[],[],"['May 27', 'Sunday']",['Terrorism']
151,Hangu IED explosion injures three,"KOHAT/NOWSHERA, June 1: Three people were injured in Hangu Bazaar on Friday after an improvised explosive device and mortar shells placed in a handcart exploded. 
    ",2012-06-01,"[KOHAT/NOWSHERA, June 1, Three, Hangu Bazaar, Friday]",[],['Hangu Bazaar'],[],['KOHAT/NOWSHERA'],"['June 1', 'Friday']",['Terrorism']
152,Body of woman found,"TAXILA, June 4: Body of a woman in mutilated condition was recovered from a deserted place near Islamabad-Peshawar Motorway near Pathargarh in the limits of Hassanabdal police station on Monday 
    ",2012-06-04,"[TAXILA, June 4, Islamabad, Peshawar Motorway, Pathargarh, Hassanabdal, Monday]","['Islamabad', 'Pathargarh', 'Hassanabdal']",[],[],['TAXILA'],"['June 4', 'Monday']",[]
153,A second woman takes her life,"RAWALPINDI, June 4: Another woman committed suicide here on Monday, police said 
    ",2012-06-04,"[RAWALPINDI, June 4, Monday]",[],[],[],['RAWALPINDI'],"['June 4', 'Monday']",[]
154,12 militants killed in Tirah,"LANDI KOTAL, June 4: Twelve militants were killed in aerial shelling and a clash between rival groups in Tirah valley of Khyber Agency on Monday 
    ",2012-06-04,"[LANDI KOTAL, June 4, Twelve, Tirah, Khyber Agency, Monday]",['Tirah'],[],['LANDI KOTAL'],['Khyber Agency'],"['June 4', 'Monday']","['Murder', 'Assault']"
155,"Woman, son shot dead in Mardan","MARDAN, June 6: A woman and her son were killed when unidentified assailants opened firing on them outside a hotel on Mardan-Malakand road here on Wednesday, police said. 
    ",2012-06-06,"[MARDAN, June 6, Mardan, Wednesday]",['MARDAN'],['Mardan'],[],[],"['June 6', 'Wednesday']",['Murder']
156,Taliban force Kukikhels to flee Tirah,"LANDI KOTAL, June 8: Hundreds of families were forced to flee when Taliban launched a fresh offensive against Kukikhel tribe in Tirah valley of Khyber Agency on Friday 
    ",2012-06-08,"[LANDI KOTAL, June 8, Hundreds, Taliban, Kukikhel, Tirah, Khyber Agency, Friday]",['Tirah'],[],"['LANDI KOTAL', 'Kukikhel']","['Taliban', 'Khyber Agency']","['June 8', 'Friday']",['Assault']
157,US drone attack kills three in Miramshah,"MIRAMSHAH, June 14: Three people were killed and another suffered injuries on Thursday morning when a US drone targeted a residential compound in Miramshah in North Waziristan. 
    ",2012-06-14,"[MIRAMSHAH, June 14, Three, Thursday, morning, US, Miramshah, North Waziristan]","['US', 'North Waziristan']",[],['Miramshah'],['MIRAMSHAH'],"['June 14', 'Thursday']","['Murder', 'Assault']"
158,Two rockets hit Quetta,"QUETTA, June 14: Unidentified men fired two rockets in Quetta on Thursday night which exploded in open places, causing no casualties or damage to property. 
    ",2012-06-14,"[QUETTA, June 14, two, Quetta, Thursday, night]","['QUETTA', 'Quetta']",[],[],[],"['June 14', 'Thursday']",['Burglary']
159,Man shoots wife dead,"RAWALPINDI, June 14: A man shot his wife dead at her parents house in Railway Line locality in the limits of Airport police station on Thursday night, police said. 
    ",2012-06-14,"[RAWALPINDI, June 14, parents, Railway Line, Airport, Thursday night]",['parents\x92'],['Railway Line'],[],['RAWALPINDI'],['June 14'],['Murder']
160,"Man kills brothers, self in Peshawar","PESHAWAR, June 14: A taxi driver allegedly committed suicide after killing his two brothers and injuring mother inside their house in Badbher locality here on Thursday over a trivial issue of washing a taxi. 
    ",2012-06-14,"[PESHAWAR, June 14, two, Badbher, Thursday]","['PESHAWAR', 'Badbher']",[],[],[],"['June 14', 'Thursday']",['Assault']
161,Three gunned down in Karachi,"KARACHI, June 17: Three people, including a police constable and an activist of the MQM, were shot dead late on Sunday night. 
    ",2012-06-17,"[KARACHI, June 17, Three, MQM, Sunday, night]",['KARACHI'],[],[],['MQM'],"['June 17', 'Sunday']",['Murder']
162,14 injured in clash,"CHAKWAL, June 17: As many as 14 persons were injured in a clash between two religious groups in Chak Malook villahe on Sunday morning. 
    ",2012-06-17,"[CHAKWAL, June 17, As many as 14, two, Chak Malook, Sunday, morning]",[],[],['Chak Malook'],['CHAKWAL'],"['June 17', 'Sunday']",['Assault']
163,"Peace volunteer, son shot dead in Dir","TIMERGARA, June 17: Unidentified militants killed an active member of Maidan Peace Committee along with his 13-year-old son on Saturday night. 
    ",2012-06-17,"[June 17, Unidentified, Maidan Peace Committee, 13-year-old, Saturday, night]",[],[],[],"['Unidentified', 'Maidan Peace Committee']","['June 17', '13-year-old', 'Saturday']",['Murder']
164,13 killed in copter attacks,"LANDI KOTAL, June 20: Thirteen militants were killed and several others injured when helicopter gunships bombed Taliban positions in Tirah valley of Khyber Agency on Wednesday. 
    ",2012-06-20,"[LANDI KOTAL, June 20, Thirteen, Taliban, Tirah, Khyber Agency, Wednesday]",['Tirah'],[],['LANDI KOTAL'],"['Taliban', 'Khyber Agency']","['June 20', 'Wednesday']",['Murder']
165,Four drown in well,"RAWALPINDI, June 20: Four boys, including two brothers, drowned in a well while two others were in critical condition in Chak Amral, a village in Chauntra, on Wednesday night, police said. 
    ",2012-06-20,"[RAWALPINDI, June 20, Four, two, two, Chak Amral, Chauntra, Wednesday night]",['Chauntra'],[],['Chak Amral'],['RAWALPINDI'],['June 20'],[]
166,Dir policemen hurt as their van hits IED,"TIMERGARA, June, 20: The Zaimdara police station SHO and a constable were injured when a police mobile van hit an improvised explosive device near Nagotal area here on Wednesday. 
    ",2012-06-20,"[June, 20, Zaimdara, SHO, Nagotal, Wednesday]","['Zaimdara', 'Nagotal']",[],[],['SHO'],"['June', 'Wednesday']","['Assault', 'Terrorism']"
167,"Man, niece shot dead for honour","KHAR, June 23: A young boy shot dead his uncle and a married sister allegedly in an honor related incident in Yusufabad area of Khar on Saturday. 
    ",2012-06-23,"[June 23, Yusufabad, Khar, Saturday]","['Yusufabad', 'Khar']",[],[],[],"['June 23', 'Saturday']",['Murder']
168,"Bannu jail escapee, protector held in Lakki","LAKKI MARWAT, July 3: Police on Tuesday arrested an escaped Bannu prisoner and his protector during a raid in Abakhel village here. 
    ",2012-07-03,"[LAKKI MARWAT, July 3, Tuesday, Bannu, Abakhel village]",['Abakhel village'],[],"['LAKKI MARWAT', 'Bannu']",[],"['July 3', 'Tuesday']",[]
169,ANP leader shot dead in Tank,"TANK, July 3: Awami National Partys Tank district president Khan Gul Bittani was gunned down by an unidentified assailant here on Tuesday evening, his relatives and police said. 
    ",2012-07-03,"[July 3, Awami National Partys Tank, Khan Gul Bittani, Tuesday, evening]",[],[],['Khan Gul Bittani'],['Awami National Party\x92s Tank'],"['July 3', 'Tuesday']",['Murder']
170,Bid to break Gilgit prison foiled,"GILGIT, July 3: The Frontier Constabulary foiled an attempt of two prisoners to escape at a sub jail in Gilgit on Monday night. 
    ",2012-07-03,"[GILGIT, July 3, The Frontier Constabulary, two, Gilgit, Monday, night]","['GILGIT', 'Gilgit']",[],[],['The Frontier Constabulary'],"['July 3', 'Monday']",[]
171,Levies man among two killed,"QUETTA, July 2: Two people, one of them a Levies constable, were killed in separate incidents in Balochistan on Monday, police sources said. 
    ",2012-07-03,"[QUETTA, July 2, Two, one, Balochistan, Monday]","['QUETTA', 'Balochistan']",[],[],[],"['July 2', 'Monday']",['Murder']
172,Pir accused of rape arrested,"RAWALPINDI, July 6: Local police on Friday arrested a Pir for allegedly declaring a sick teenage girl possessed by djinns and raping her to free her of the ethereal spirits 
    ",2012-07-06,"[RAWALPINDI, July 6, Friday, Pir]",[],[],['Pir'],['RAWALPINDI'],"['July 6', 'Friday']",['Assault']
173,SI killed in Peshawar blast,"PESHAWAR, July 6: A police sub-inspector was killed and three constables were injured when a roadside bomb exploded near their van on Takhtabad road in the limits of Daudzai police station here on Friday evening 
    ",2012-07-06,"[PESHAWAR, July 6, three, Takhtabad, Friday evening]","['PESHAWAR', 'Takhtabad']",[],[],[],['July 6'],['Terrorism']
174,Killers of clerics held in Quetta,"QUETTA, July 5: Police have arrested three alleged target killers, involved in the killing of some Ulema, after heavy exchange of fire in the provincial capital. 
    ",2012-07-06,"[QUETTA, July 5, three, Ulema]",['QUETTA'],[],['Ulema'],[],['July 5'],"['Murder', 'Assault']"
175,"Gangsters free car lifter, kill cop, taxi driver","ATTOCK, July 8: Four armed bike riders got an alleged car lifter released from police custody after killing a constable and a taxi driver and injuring two other police officials here on Sunday. 
    ",2012-07-08,"[ATTOCK, July 8, Four, two, Sunday]",[],[],[],['ATTOCK'],"['July 8', 'Sunday']",['Assault']
176,"Two militants killed, eight hurt Cross-border attack repulsed in Bajaur","KHAR/KOHAT, July 8: Two militants were killed and eight others received injuries as security forces and Mamond Qaumi Lashkar repulsed a cross-border attack in Kagga area of Bajaur tribal region on 
    ",2012-07-08,"[KHAR/KOHAT, July 8, Two, eight, Mamond Qaumi Lashkar, Kagga, Bajaur]",['Bajaur'],['Kagga'],['Mamond Qaumi Lashkar'],['KHAR/KOHAT'],['July 8'],['Murder']
177,Policeman shot dead in Peshawar,"PESHAWAR, July 8: Unidentified armed persons shot dead an assistant sub-inspector of police on Charsadda Road in the limits of Khazana police station here on Sunday. 
    ",2012-07-08,"[PESHAWAR, July 8, Charsadda Road, Khazana, Sunday]","['PESHAWAR', 'Khazana']",[],[],[],"['July 8', 'Sunday']",[]
178,Impersonators arrested,"ISLAMABAD, July 7: Two persons were arrested for disguising themselves as policemen and using the gear of the law enforcement agency, police said on Saturday. 
    ",2012-07-08,"[ISLAMABAD, July 7, Two, Saturday]",['ISLAMABAD'],[],[],[],"['July 7', 'Saturday']",[]
179,ASI shot dead,"ISLAMABAD, July 7: Robbers shot dead an assistant sub-inspector when he tried to intercept them while they were escaping along with a snatched car here on Saturday, police said. 
    ",2012-07-08,"[ISLAMABAD, July 7, Saturday]",['ISLAMABAD'],[],[],[],"['July 7', 'Saturday']",[]
180,"Cop killed, three hurt in Peshawar blast","PESHAWAR, July 7: One policeman was killed and three others including an additional station house officer were injured in a roadside blast here on Saturday evening. 
    ",2012-07-08,"[PESHAWAR, July 7, One, three, Saturday, evening]",['PESHAWAR'],[],[],[],"['July 7', 'Saturday']",[]
181,Landmines injure three security men in Orakzai,"KALAYA/PARACHINAR, July 7: Three security personnel suffered injuries when two of their vehicles were targeted by landmines in Gaween area while six missiles were fired at Kalaya, the agency headquarters of Orakzai Agency, on Saturday. 
    ",2012-07-08,"[KALAYA/PARACHINAR, July 7, Three, two, Gaween, six, Kalaya, Orakzai Agency, Saturday]",['Gaween'],[],[],"['KALAYA/PARACHINAR', 'Orakzai Agency']","['July 7', 'Saturday']",['Terrorism']
182,"Man, son shot dead by rivals","JHANG, July 7: A man and his son were killed by their rivals on Jhang-Faisalabad Road here on Saturday afternoon. 
    ",2012-07-08,"[JHANG, July 7, Jhang-Faisalabad Road, Saturday, afternoon]",[],[],[],['JHANG'],"['July 7', 'Saturday']",['Murder']
183,Youth commits suicide,"RAWALPINDI, July 22: A young man killed himself by jumping in front of a passenger train near Rahimabad (Chaklala) on Sunday, police said. 
    ",2012-07-22,"[RAWALPINDI, July 22, Rahimabad, Sunday]",['Rahimabad'],[],[],['RAWALPINDI'],"['July 22', 'Sunday']",['Murder']
184,Two militants arrested in Lakki Marwat,"LAKKI MARWAT, July 22: Police arrested two alleged militants during a raid in Shah Hasankhel village here on Sunday. 
    ",2012-07-22,"[LAKKI MARWAT, July 22, two, Shah Hasankhel, Sunday]",[],[],"['LAKKI MARWAT', 'Shah Hasankhel']",[],"['July 22', 'Sunday']",[]
185,Illegal arms seized from Mansehra shop,"MANSEHRA, July 22: Police here have seized a cache of arms and ammunition being sold illegally at an arms shop. 
    ",2012-07-22,"[MANSEHRA, July 22]",[],[],[],['MANSEHRA'],['July 22'],['Fraud']
186,Wanted man caught in Dubai an enigma,"ISLAMABAD, Aug 1: After local television channels reported that the Federal Investigation Agency (FIA) with the help of Interpol had arrested run-away murder accused Roohullah in Dubai, the capital police have asked Interpol for information about the man, 
    ",2012-08-01,"[ISLAMABAD, Aug 1, the Federal Investigation Agency, FIA, Interpol, Roohullah, Dubai, Interpol]","['ISLAMABAD', 'Dubai']",[],[],"['the Federal Investigation Agency', 'FIA', 'Interpol', 'Roohullah', 'Interpol']",['Aug 1'],[]
187,"Seven militants, soldier killed in Orakzai clash","KALAYA, Aug 1: Seven militants and a security man were killed in a clash in Dabori area of Orakzai tribal region on Wednesday, sources said. 
    ",2012-08-01,"[KALAYA, Aug 1, Seven, Dabori, Orakzai, Wednesday]","['Dabori', 'Orakzai']",[],[],['KALAYA'],"['Aug 1', 'Wednesday']",['Murder']
188,At least eight injured in Hub explosion,"At least eight people were injured seriously in a bomb blast in the industrial town of Hub on Thursday. 
    ",2012-08-02,"[At least eight, Thursday]",[],[],[],[],['Thursday'],['Terrorism']
189,Two shot dead,"RAWALPINDI, Aug 3: Two persons from rival groups were shot dead at Ghareebabad (Chaklala) on Friday night. 
    ",2012-08-03,"[RAWALPINDI, Aug 3, Two, Ghareebabad, Chaklala, Friday night]",['Ghareebabad'],[],[],['RAWALPINDI'],['Aug 3'],['Murder']
190,Man murdered,"RAWALPINDI, Aug 3: A man was shot dead while he was sleeping in his house in mohallah Dar-us-Salam (Tench Bhatta) on Friday, police said. 
    ",2012-08-03,"[RAWALPINDI, Aug 3, mohallah, Dar, Tench Bhatta, Friday]","['mohallah', 'Dar']",[],['Tench Bhatta'],['RAWALPINDI'],"['Aug 3', 'Friday']","['Murder', 'Fraud']"
191,Man dies in Gilgit blast,"GILGIT, Aug 5: A man was killed and four others were injured when a bomb blast ripped through a van in Minawar area of the city on Sunday, officials said. 
    ",2012-08-06,"[GILGIT, Aug 5, four, Minawar, Sunday]","['GILGIT', 'Minawar']",[],[],[],"['Aug 5', 'Sunday']",['Terrorism']
192,Girl kidnapped in broad daylight,"ISLAMABAD, Aug 5: A four-year-old girl was kidnapped by two unidentified persons from outside her house in Shahzad Town on Sunday, police and the family of the missing girl said. 
    ",2012-08-06,"[ISLAMABAD, Aug 5, four-year-old, two, Shahzad Town, Sunday]","['ISLAMABAD', 'Shahzad Town']",[],[],[],"['Aug 5', 'four-year-old', 'Sunday']",['Kidnapping']
193,3 policemen among six arrested for drug trafficking,"RAWALPINDI, Aug 5: Six persons, including three policemen, were arrested in connection with the smuggling of 5kg narcotics (charas) from Peshawar. 
    ",2012-08-06,"[RAWALPINDI, Aug 5, Six, three, 5kg narcotics, Peshawar]",['Peshawar'],[],[],['RAWALPINDI'],['Aug 5'],"['Drug', 'Fraud']"
194,Two killed for honour,"ATTOCK, Aug 5: A boy and a girl were killed at Jangla village of Pindgheb police station. 
    ",2012-08-06,"[ATTOCK, Aug 5, Jangla village, Pindgheb]","['Jangla village', 'Pindgheb']",[],[],['ATTOCK'],['Aug 5'],['Murder']
195,Eight injured,"TAXILA, Aug 5: Eight people were injured, one critically, during a clash at Jallo in the limits of Hassanabdal 
    ",2012-08-06,"[TAXILA, Aug 5, Eight, one, Jallo, Hassanabdal]",[],[],['Hassanabdal'],['TAXILA'],['Aug 5'],['Assault']
196,"Militant, peace volunteer killed in Bara clash","LANDI KOTAL, Aug 5: A militant and a volunteer of a local peace committee were killed in a clash in Bara subdivision of Khyber Agency on Sunday. 
    ",2012-08-06,"[LANDI KOTAL, Aug 5, Bara, Khyber Agency, Sunday]",[],['Bara'],['LANDI KOTAL'],['Khyber Agency'],"['Aug 5', 'Sunday']","['Murder', 'Assault']"
197,Seven die as car plunges into Swat river,"TIMERGARA, Aug 5: Seven members of a family, including three children, were killed when their car fell into Swat river at Badwan area of Lower Dir on Sunday evening, police and hospital sources said. 
    ",2012-08-06,"[Aug 5, Seven, three, Swat river, Badwan, Sunday evening]",['Badwan'],['Swat river'],[],[],['Aug 5'],['Murder']
198,Three killed in Khuzdar clash,"QUETTA, Aug 19: Three people were killed and three others injured in an armed clash between two groups of a tribe in Ornach area of Khuzdar district on Sunday, Levies Force sources said. 
    ",2012-08-20,"[QUETTA, Aug 19, Three, three, two, Ornach, Khuzdar, Sunday, Levies Force]","['QUETTA', 'Ornach', 'Khuzdar']",[],[],['Levies Force'],"['Aug 19', 'Sunday']",['Assault']
199,Two killed in a family feud,"KARAK, Aug 19: Two people of a family, including a woman, were killed in the district over land dispute, while nine were injured in four separate incidents on Sunday. 
    ",2012-08-20,"[KARAK, Aug 19, Two, nine, four, Sunday]",[],[],[],['KARAK'],"['Aug 19', 'Sunday']",['Murder']
200,Three terror suspects held near Chaklala,"RAWALPINDI, Aug 18: Personnel of law-enforcement agencies arrested three suspected terrorists near Chaklala Airbase on Saturday in connection with the Kamra attack and picked up from various parts of the country relatives and associates of four attackers  
    ",2012-08-20,"[RAWALPINDI, Aug 18, three, Chaklala Airbase, Saturday, Kamra, four]",['Chaklala Airbase'],[],[],['RAWALPINDI'],"['Aug 18', 'Saturday']",['Terrorism']
201,Renewed wave of violence kills three more in Karachi,"KARACHI, Aug 18: At least three people, including a political activist and Moazzin of a mosque, were killed in separate incidents of firing on Saturday night, officials said. 
    ",2012-08-20,"[KARACHI, Aug 18, At least three, Moazzin, Saturday night]",['KARACHI'],[],['Moazzin'],[],['Aug 18'],['Murder']
202,Three drivers kidnapped,"QUETTA, Aug 18: At least three truck drivers were kidnapped from Karachi-Quetta highway in Khuzdar area on Saturday. Police sources said a convoy of trucks was on its way to the provincial capital when some armed men in a vehicle intercepted them in Khuzd 
    ",2012-08-20,"[QUETTA, Aug 18, At least three, Karachi, Quetta, Khuzdar, Saturday, Khuzd]","['QUETTA', 'Karachi', 'Quetta', 'Khuzdar']",[],[],[],"['Aug 18', 'Saturday']",['Kidnapping']
203,Security alert for diplomatic missions,"ISLAMABAD, Aug 18: Interior Minister Rehman Malik on Saturday directed strict vigilance of diplomatic missions during Eid days to avert any possible terrorism incident including suicide attack. 
    ",2012-08-20,"[ISLAMABAD, Aug 18, Interior, Rehman Malik, Saturday, Eid days]",['ISLAMABAD'],[],['Rehman Malik'],['Interior'],"['Aug 18', 'Saturday', 'Eid days']",['Fraud']
204,Three killed in Khuzdar clash,"QUETTA, Aug 19: Three people were killed and three others injured in an armed clash between two groups of a tribe in Ornach area of Khuzdar district on Sunday, Levies Force sources said. 
    ",2012-08-21,"[QUETTA, Aug 19, Three, three, two, Ornach, Khuzdar, Sunday, Levies Force]","['QUETTA', 'Ornach', 'Khuzdar']",[],[],['Levies Force'],"['Aug 19', 'Sunday']",['Assault']
205,Two killed in a family feud,"KARAK, Aug 19: Two people of a family, including a woman, were killed in the district over land dispute, while nine were injured in four separate incidents on Sunday. 
    ",2012-08-21,"[KARAK, Aug 19, Two, nine, four, Sunday]",[],[],[],['KARAK'],"['Aug 19', 'Sunday']",['Murder']
206,Man kidnapped in Quetta,"QUETTA, Aug 23: A man was kidnapped from Satellite Town area of the provincial capital on Thursday night, police sources said. 
    ",2012-08-23,"[QUETTA, Aug 23, Satellite Town, Thursday, night]",['QUETTA'],['Satellite Town'],[],[],"['Aug 23', 'Thursday']",['Kidnapping']
207,Nepali man bites snake to death in revenge attack,"KATHMANDU, Aug 23: A Nepali man who was bitten by a cobra snake bit it back and killed the reptile in a tit-for-tat attack, a newspaper said on Thursday. 
    ",2012-08-23,"[KATHMANDU, Aug 23, Nepali, Thursday]",['KATHMANDU'],[],[],[],"['Aug 23', 'Thursday']",['Fraud']
208,Fear makes Kalash people abandon ritual,"CHITRAL, Aug 23: The Kalash people have abandoned their centuries-old ritual of putting their dead in an open yard for the first time recently owing to fear of terrorist attack as they buried the body of one Ebaduddin, who was kidnapped and slaughtered to 
    ",2012-08-23,"[CHITRAL, Aug 23, Kalash, centuries-old, first, one, Ebaduddin]",['CHITRAL'],[],['Ebaduddin'],[],"['Aug 23', 'centuries-old']",['Terrorism']
209,Three commit suicide in Swabi,"SWABI, Aug 23: Three people, including two women, committed suicide while a young man drowned in a local rainwater pond here on Thursday, police said. 
    ",2012-08-23,"[SWABI, Aug 23, Three, two, Thursday]",[],[],[],['SWABI'],"['Aug 23', 'Thursday']",['Murder']
210,"Youth freed, captors arrested","PESHAWAR, Aug 23: Police arrested three kidnappers and recovered a youth from Kheshgi who had been abducted from Lahore on August 7. 
    ",2012-08-23,"[PESHAWAR, Aug 23, three, Kheshgi, Lahore, August 7]","['PESHAWAR', 'Lahore']",[],['Kheshgi'],[],"['Aug 23', 'August 7']",['Kidnapping']
211,Family loses four children in accident,"PESHAWAR, Aug 22: Four children of a family, including three girls, were killed and three injured in a road accident on GT Road in the suburbs of the provincial capital late on Tuesday. 
    ",2012-08-23,"[PESHAWAR, Aug 22, Four, three, three, GT Road, Tuesday]",['PESHAWAR'],[],[],[],"['Aug 22', 'Tuesday']",['Murder']
212,Explosive device found at farm house,"RAWALPINDI, Sept 2: After the terrorist attack at a clinic on Peshawar Road, an explosives-laden device with inscription first gift from Tehrik-i-Taliban Pakistan (TTP) was discovered on a farm house in the outskirt of Westridge police station on Sunday 
    ",2012-09-02,"[RAWALPINDI, Sept 2, Peshawar Road, Pakistan, Westridge, Sunday]","['Pakistan', 'Westridge']",[],[],['RAWALPINDI'],"['Sept 2', 'Sunday']",['Terrorism']
213,Man killed,"ATTOCK, Sept 2: A man was killed in a road accident near Rangli village on Kohat-Pindi Road of Jand police station Mohammad Shafi, 75, was crossing the road near Rangli village on Saturday when he was hit by a speeding coach.Correspondent 
    ",2012-09-02,"[ATTOCK, Sept 2, Rangli village, Kohat-Pindi Road, Jand, Mohammad Shafi, 75, Rangli village, Saturday]","['Rangli village', 'Jand', 'Rangli village']",[],['Mohammad Shafi'],['ATTOCK'],"['Sept 2', '75', 'Saturday']","['Murder', 'Assault']"
214,Peace volunteer among 3 injured in Bara violence,"LANDI KOTAL/PARACHINAR, Sept 2: Three persons, including a peace activist, were injured while two tribesmen were abducted at gunpoint in different incidents in Khyber Agency, officials said. 
    ",2012-09-02,"[LANDI KOTAL, Sept 2, Three, two, Khyber Agency]",[],[],['LANDI KOTAL'],['Khyber Agency'],['Sept 2'],['Assault']
215,"Policeman killed, four injured in Dir ambush","TIMERGARA, Sept 2: A policeman was killed and four others sustained injuries when their vehicle came under attack at Bazarak Khwar near Afghan refugees camp in Lower Dir on Saturday night. 
    ",2012-09-02,"[Sept 2, four, Bazarak Khwar, Afghan refugees, Saturday, night]",['Afghan refugees\x92'],[],[],[],"['Sept 2', 'Saturday']",['Murder']
216,Explosive device found at farm house,"RAWALPINDI, Sept 2: After the terrorist attack at a clinic on Peshawar Road, an explosives-laden device with inscription first gift from Tehrik-i-Taliban Pakistan (TTP) was discovered on a farm house in the outskirt of Westridge police station on Sunday 
    ",2012-09-03,"[RAWALPINDI, Sept 2, Peshawar Road, Pakistan, Westridge, Sunday]","['Pakistan', 'Westridge']",[],[],['RAWALPINDI'],"['Sept 2', 'Sunday']",['Terrorism']
217,Man killed,"ATTOCK, Sept 2: A man was killed in a road accident near Rangli village on Kohat-Pindi Road of Jand police station Mohammad Shafi, 75, was crossing the road near Rangli village on Saturday when he was hit by a speeding coach.Correspondent 
    ",2012-09-03,"[ATTOCK, Sept 2, Rangli village, Kohat-Pindi Road, Jand, Mohammad Shafi, 75, Rangli village, Saturday]","['Rangli village', 'Jand', 'Rangli village']",[],['Mohammad Shafi'],['ATTOCK'],"['Sept 2', '75', 'Saturday']","['Murder', 'Assault']"
